Average times:
SIFT Detection,4.08817,54
SIFT Matching,3.55164,54
Corr Filter,1.24616,54
Misc,0.428835,54
Solve,27.3542,54


SIFT Detection,3.5831,3.557,3.7241,3.0493,3.864,3.9079,3.6567,3.0591,3.3308,3.129,4.1278,3.6704,3.0883,3.6154,3.3837,4.4188,3.7091,4.8223,3.0504,3.5722,3.6837,4.08,4.1497,4.3623,4.3458,3.8863,4.9262,4.4116,4.1768,5.0102,4.3109,4.2668,4.0341,4.3037,5.562,3.786,3.8094,4.2687,3.9006,5.0566,4.8305,5.3215,4.5442,4.5585,4.7477,4.6381,5.2454,4.7156,4.187,3.9783,4.0342,4.0852,3.4537,3.7704
SIFT Matching,0,0.2612,0.2847,0.7807,0.3927,0.3429,0.5309,2.8013,1.9567,2.3994,0.7398,1.891,2.1157,2.244,2.166,2.2467,2.1078,2.5602,2.4077,3.8312,2.7739,1.6759,3.788,1.9366,3.1338,3.7999,3.8937,5.5185,4.1154,4.9307,2.5952,3.9892,4.6267,4.6774,5.6988,4.1192,4.2964,6.9125,3.9073,5.7482,4.6731,5.1408,4.8027,4.639,6.2719,7.4798,7.5503,5.7495,5.019,4.1117,7,6.0486,3.7229,5.3813
Match Filter Key Point,0,0.6446,0.6625,0.7473,0.8039,0.8745,0.9619,0.7053,0.8917,0.8677,0.6846,0.8452,0.7512,0.8064,0.7974,0.7304,0.7633,0.8114,0.7386,0.8216,0.8721,1.0201,0.8758,1.2938,0.7686,0.8234,0.7246,1.102,1.1223,0.771,1.006,1.1161,1.3973,0.9137,1.6226,0.8006,0.8953,0.697,0.8204,0.738,0.8299,1.1651,1.3266,1.227,1.1661,0.8899,1.2474,0.8123,0.7945,0.9841,0.9061,0.8464,0.8565,0.8424
Match Filter Surface Area,0,0.0928999,0.1216,0.3878,0.1004,0.0918,0.1113,0.1121,0.1183,0.0916999,0.1446,0.118,0.1167,0.1559,0.1395,0.1476,0.1414,0.145,0.101,0.1537,0.188,0.1496,0.1473,0.2547,0.1701,0.1108,0.0922,0.1731,0.0908999,0.162,0.1412,0.0969002,0.3432,0.0978999,0.1461,0.0945001,0.3793,0.1389,0.1422,0.0992999,0.1718,0.3567,0.1493,0.1518,0.1083,0.1525,0.1028,0.0914,0.1425,0.1526,0.1779,0.1191,0.2164,0.0918
Match Filter Dense Verify,0,0.1401,0.1305,0.1985,0.1378,0.1504,0.1556,0.1395,0.1404,0.1523,0.1812,0.1377,0.1506,0.1425,0.1525,0.2062,0.1515,0.1527,0.1721,0.1898,0.2536,0.3362,0.4465,0.5412,0.2038,0.1399,0.2749,0.4036,0.1536,0.1746,0.2354,0.1822,0.2096,0.1916,0.4454,0.2724,0.1777,0.1421,0.196,0.1448,0.1536,0.1751,0.1883,0.1497,0.3754,0.1515,0.357,0.1401,0.1784,0.1512,0.1824,0.1642,0.2687,0.3709
Misc,0,0.1813,0.1794,0.4104,0.3954,0.4683,0.4717,0.1818,0.1954,0.1829,0.262,0.2223,0.3779,0.591,0.4935,0.2039,0.4334,0.4797,0.4614,0.5845,0.5516,1.3759,1.0418,0.5936,0.6746,0.1898,0.2769,0.3299,0.2889,0.3435,0.3981,0.3109,0.3767,0.3352,0.6696,0.2859,0.2777,0.4319,0.8175,0.3889,0.595,0.3723,0.7099,0.7786,0.1899,0.2874,0.2249,0.1823,0.6207,0.3872,0.2934,0.7921,0.5844,0.4039
Solve,0,1.4091,21.7602,4.825,3.1925,2.987,5.6743,3.7768,10.3885,31.3073,8.1928,12.1677,8.7859,10.9922,33.8416,8.9755,9.4176,9.9956,29.3021,57.8535,11.5276,48.1051,14.685,47.2321,25.0983,24.2779,24.0205,23.5728,33.7682,9.753,59.9736,42.3028,45.8856,17.6149,58.5102,65.325,51.7091,52.6545,26.3183,25.4493,9.3597,24.3832,32.2178,47.41,10.2615,60.8769,48.6492,60.5628,10.8903,25.3532,46.0595,45.6374,62.512,10.3251
Solve #Iters,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
